parameter_name,Dark side time spent
mouse_strain,C57BL
gene_accession_id,MGI:1921607
mouse_life_stage,Early adult
analysis_id,2918g7eue16osua
gene_symbol,Efhd1
pvalue,0.07003466
parameter_id,JAX_LDT_004_001
